link_id,id,A1,A2,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,G1_1,G1_2,G1_3,G1_4,G1_5,G1_6,G1_7,H1_1,H1_2,H1_3,H1_4,H1_5,I1,I2,I3,J1,J2
2227,1,1,3,0,0,1,0,1,1,6,5,5,7,6,6,7,5,6,5,6,6,5,1,3,6,6,6,0,1,1,1,1,1,1,0,0,0,0,0,7,7,7,4,2
6554,2,1,3,1,1,0,0,1,1,6,6,7,7,4,7,7,6,6,5,5,5,4,2,2,6,7,7,0,1,1,1,1,1,0,0,1,1,1,0,7,6,5,3,2
6777,3,1,3,0,1,1,1,0,0,5,5,7,6,6,6,7,5,5,6,6,7,2,2,1,6,6,5,0,0,1,0,1,1,0,0,0,0,0,0,6,6,5,4,2
5285,4,2,2,1,0,1,1,0,0,4,6,4,6,4,7,4,5,4,3,3,5,1,5,5,5,4,4,0,1,1,1,1,0,0,0,0,1,1,0,4,4,5,2,2
5808,5,2,3,1,0,0,0,0,0,4,4,5,4,4,6,5,4,3,3,5,5,4,3,4,5,3,3,0,0,1,0,1,0,1,1,0,1,0,1,6,4,3,2,2
3657,6,2,1,0,0,0,0,0,1,4,6,5,4,6,4,6,5,4,4,5,3,3,4,4,5,3,5,0,1,0,1,1,0,0,1,0,0,0,0,2,4,5,3,2
3876,7,2,2,1,1,0,0,0,1,5,3,4,3,6,7,1,4,6,5,5,4,3,2,3,5,5,5,0,1,0,1,0,0,0,0,0,1,0,0,6,3,3,3,2
5543,8,2,3,0,1,1,0,1,0,3,4,4,6,5,5,5,5,3,5,5,3,4,3,1,4,5,4,0,1,0,0,1,0,1,1,1,0,0,0,5,5,4,3,2
1724,9,2,3,0,1,1,0,0,1,6,4,4,4,4,4,4,6,5,3,5,6,2,2,4,4,6,4,1,1,1,0,1,0,1,1,0,1,0,0,4,3,3,4,2
6458,10,2,2,0,0,1,1,1,0,5,4,4,4,4,5,4,5,4,3,4,4,3,5,4,4,5,3,0,1,1,0,1,0,0,1,0,0,0,1,5,5,5,4,2
3530,11,2,2,0,1,0,0,1,0,6,4,4,5,4,5,6,3,5,4,4,4,3,4,2,4,7,7,0,1,1,1,1,1,0,0,0,0,0,0,4,3,6,6,2
3158,12,3,1,0,0,1,1,0,0,4,3,4,2,4,3,4,4,5,4,4,3,5,5,5,4,3,3,0,1,0,0,1,0,0,0,1,1,0,0,5,4,5,4,2
,13,3,1,0,0,1,0,0,1,3,3,3,5,3,3,3,4,3,3,1,3,4,4,5,3,3,5,0,0,1,0,1,1,0,1,0,1,1,1,6,5,3,5,2
,14,3,2,0,1,0,0,0,0,4,4,3,4,3,4,4,4,5,5,3,3,4,3,2,3,3,3,0,1,1,0,1,0,0,1,0,0,0,0,3,4,2,5,2
,15,3,2,0,0,1,0,1,0,3,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,2,3,0,1,1,1,0,0,0,0,1,0,0,0,2,5,2,4,2
2503,16,3,2,1,0,0,1,0,0,4,3,4,4,3,5,4,3,2,3,3,5,5,3,5,2,5,3,0,1,1,0,1,0,0,1,0,0,0,0,4,4,2,4,2
,17,3,2,0,1,0,0,1,0,3,4,3,2,4,4,4,3,4,3,3,2,4,4,4,5,3,3,1,1,0,1,1,0,0,0,1,0,1,0,4,4,3,2,2
,18,3,2,0,1,0,1,0,0,3,3,5,5,5,4,5,3,4,4,2,4,4,3,3,4,2,5,0,1,1,0,0,1,0,1,0,1,0,0,2,2,4,6,2
,19,4,2,0,0,0,0,0,0,3,2,3,1,6,6,4,2,2,2,2,1,3,3,3,1,2,3,0,0,0,0,0,0,0,1,0,0,0,1,3,1,5,5,2
,20,4,1,0,0,0,0,0,1,5,4,4,5,3,1,6,6,4,3,2,4,1,3,3,5,2,1,0,0,1,0,0,0,0,0,1,1,1,0,3,5,3,5,5
,21,4,1,0,0,0,0,0,0,2,2,2,3,3,2,3,3,1,4,2,4,4,5,3,4,3,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,4,2
,22,4,1,0,0,0,0,0,0,5,2,3,3,2,4,3,1,3,3,2,2,4,4,7,1,2,3,0,1,0,0,1,0,0,1,1,0,0,0,3,2,2,7,2
,23,4,1,0,0,0,0,0,1,3,3,2,2,3,2,2,4,3,2,3,4,5,4,3,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,3,1,2,5,2
,24,4,2,0,0,0,0,0,0,2,3,3,2,4,3,2,3,2,3,2,1,5,4,4,1,2,2,0,1,0,0,1,0,0,1,1,0,0,1,3,3,1,5,2
,25,4,1,1,0,0,0,0,0,1,2,3,1,2,3,3,2,2,1,2,3,5,5,5,2,2,2,0,1,0,0,0,0,0,0,1,1,0,0,2,2,3,5,2
,26,4,1,0,0,0,1,0,0,3,4,2,2,3,4,3,2,2,2,1,3,4,5,5,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,3,2,2,4,2
,27,4,2,0,0,0,0,0,0,1,3,2,3,2,3,2,5,3,2,3,3,7,4,2,1,3,3,0,0,0,0,0,0,0,1,0,1,0,1,2,2,2,3,2
,28,4,2,0,1,0,0,0,0,1,3,2,1,3,2,4,1,4,1,5,3,4,5,4,2,4,3,0,0,1,0,0,0,0,0,0,1,0,0,1,3,2,4,2
,29,4,2,0,0,0,0,0,0,4,1,3,2,3,2,2,3,3,3,4,3,5,3,5,2,1,1,0,0,0,0,1,0,0,1,1,1,0,0,4,3,3,5,2
,30,4,1,0,0,0,1,0,0,2,3,2,1,3,2,3,2,5,3,3,1,3,4,2,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,2,1,1,3,2
