任务,指标,单智能体M±SD,多智能体M±SD,配对n,W,p值,效应量r,判定
任务A,总时长(min),29.75±2.63,16.25±2.87,4,0.0,0.125,0.913,不显著
任务A,人工介入次数,14.50±1.29,7.00±1.41,4,0.0,0.125,0.913,不显著
任务A,人工介入时长(min),16.25±2.06,8.25±2.22,4,0.0,0.125,0.913,不显著
任务A,产出质量(盲评),3.38±0.41,3.22±0.26,4,3.0,0.625,0.365,不显著
任务B,总时长(min),26.00±2.94,20.50±4.80,4,0.0,0.125,0.913,不显著
任务B,人工介入次数,10.25±1.71,6.25±1.26,4,0.0,0.25,0.913,不显著
任务B,人工介入时长(min),13.00±1.63,7.25±1.71,4,0.0,0.125,0.913,不显著
任务B,产出质量(盲评),3.50±0.44,4.31±0.16,4,0.0,0.125,0.913,不显著
任务C,总时长(min),23.00±2.94,24.00±1.83,4,4.0,0.875,0.183,不显著
任务C,人工介入次数,8.75±1.71,9.50±1.91,4,3.0,0.625,0.365,不显著
任务C,人工介入时长(min),11.00±0.82,10.00±1.41,4,2.0,0.5,0.548,不显著
任务C,产出质量(盲评),3.78±0.79,4.00±0.18,4,4.0,0.75,0.183,不显著
