participant,task,run_order,condition,total_time_min,intervention_count,intervention_time_min,r1_relevance,r1_accuracy,r1_structure,r1_completeness,r2_relevance,r2_accuracy,r2_structure,r2_completeness
P1,A,1,single,32,14,18,4,3,3,3,3,3,4,4
P1,A,2,multi,14,8,10,4,3,4,2,5,3,3,4
P1,B,3,multi,24,8,8,4,4,5,5,5,5,4,4
P1,B,4,single,29,8,11,4,3,2,4,2,3,3,4
P1,C,5,single,19,9,11,4,3,4,4,5,4,5,3
P1,C,6,multi,26,10,12,4,4,4,4,4,3,4,4
P2,A,1,multi,17,8,9,3,2,4,2,3,3,3,3
P2,A,2,single,27,15,15,4,4,3,3,3,3,3,4
P2,B,3,single,27,11,13,5,4,4,4,3,4,4,4
P2,B,4,multi,18,5,7,4,5,4,4,3,5,4,5
P2,C,5,multi,25,8,10,4,5,4,4,4,4,5,4
P2,C,6,single,23,11,11,3,2,3,2,2,3,2,4
P3,A,1,single,32,13,14,2,4,2,2,3,4,2,4
P3,A,2,multi,14,5,5,4,4,3,3,3,3,3,3
P3,B,3,multi,15,6,5,3,5,5,4,5,4,5,4
P3,B,4,single,22,12,15,5,3,4,4,4,3,4,3
P3,C,5,single,24,7,12,4,5,4,4,4,4,4,4
P3,C,6,multi,23,8,9,4,4,4,4,5,3,5,3
P4,A,1,multi,20,7,9,3,3,3,4,4,4,2,3
P4,A,2,single,28,16,18,4,5,4,3,3,3,5,4
P4,B,3,single,26,10,13,4,4,2,2,4,3,3,3
P4,B,4,multi,25,6,9,4,5,4,5,4,3,4,4
P4,C,5,multi,22,12,9,3,4,4,4,3,4,4,5
P4,C,6,single,26,8,10,4,5,5,4,4,4,4,5
