stage_1,stage_2,stage_1_only,stage_2_only,p_raw,p_holm
Problem definition,Information retrieval,0,17,1.52587890625e-05,0.00030517578125
Problem definition,Information organization,1,13,0.0018310546875,0.0274658203125
Problem definition,Analysis and reasoning,1,7,0.0703125,0.703125
Problem definition,Content generation,0,19,3.814697265625e-06,8.0108642578125e-05
Problem definition,Operational execution,2,6,0.2890625,1.0
Problem definition,Judgment and decision,1,3,0.625,1.0
Information retrieval,Information organization,9,4,0.266845703125,1.0
Information retrieval,Analysis and reasoning,11,0,0.0009765625,0.015625
Information retrieval,Content generation,4,6,0.75390625,1.0
Information retrieval,Operational execution,15,2,0.002349853515625,0.03289794921875
Information retrieval,Judgment and decision,16,1,0.000274658203125,0.00494384765625
Information organization,Analysis and reasoning,9,3,0.14599609375,1.0
Information organization,Content generation,3,10,0.09228515625,0.83056640625
Information organization,Operational execution,8,0,0.0078125,0.0859375
Information organization,Judgment and decision,11,1,0.00634765625,0.076171875
Analysis and reasoning,Content generation,2,15,0.002349853515625,0.03289794921875
Analysis and reasoning,Operational execution,5,3,0.7265625,1.0
Analysis and reasoning,Judgment and decision,7,3,0.34375,1.0
Content generation,Operational execution,16,1,0.000274658203125,0.00494384765625
Content generation,Judgment and decision,17,0,1.52587890625e-05,0.00030517578125
Operational execution,Judgment and decision,5,3,0.7265625,1.0
